Date,WTI Price,Texas avg gas price
4/2/2007,66.03,2.563
4/9/2007,61.51,2.671
4/16/2007,63.63,2.751
4/23/2007,65.33,2.745
4/30/2007,65.78,2.844
5/7/2007,61.48,2.86
5/14/2007,62.55,2.904
5/21/2007,66.25,3.066
5/28/2007,66.2,3.049
6/4/2007,66.17,2.998
6/11/2007,65.93,2.947
6/18/2007,69.06,2.894
6/25/2007,68.83,2.871
7/2/2007,71.11,2.841
7/9/2007,72.14,2.848
7/16/2007,74.11,2.917
7/23/2007,74.65,2.864
7/30/2007,76.82,2.793
8/6/2007,72.03,2.752
8/13/2007,71.6,2.683
8/20/2007,71.12,2.678
8/27/2007,71.98,2.656
9/3/2007,74,2.643
9/10/2007,77.53,2.683
9/17/2007,80.55,2.669
9/24/2007,82.51,2.692
10/1/2007,80.31,2.688
10/8/2007,78.97,2.652
10/15/2007,86.19,2.631
10/22/2007,87.6,2.693
10/29/2007,93.45,2.716
11/5/2007,94.06,2.878
11/12/2007,94.4,2.965
11/19/2007,95.75,2.953
11/26/2007,97.66,2.949
12/3/2007,89.29,2.925
12/10/2007,87.72,2.867
12/17/2007,90.69,2.843
12/24/2007,94,2.83
12/31/2007,95.95,2.91
1/7/2008,95.08,2.963
1/14/2008,94.23,2.944
1/21/2008,93,2.896
1/28/2008,90.99,2.87
2/4/2008,90.07,2.863
2/11/2008,93.56,2.844
2/18/2008,96,2.924
2/25/2008,99.4,3.036
3/3/2008,102.42,3.075
3/10/2008,107.9,3.119
3/17/2008,105.74,3.169
3/24/2008,101.7,3.159
3/31/2008,101.54,3.205
4/7/2008,108.91,3.255
4/14/2008,111.71,3.289
4/21/2008,117.48,3.412
4/28/2008,118.78,3.506
5/5/2008,119.94,3.507
5/12/2008,124.02,3.616
5/19/2008,127.15,3.694
5/26/2008,127.3,3.831
6/2/2008,127.75,3.847
6/9/2008,134.44,3.907
6/16/2008,134.52,3.947
6/23/2008,135.98,3.925
6/30/2008,139.96,3.929
7/7/2008,141.38,3.953
7/14/2008,145.16,3.966
7/21/2008,131.43,3.942
7/28/2008,124.72,3.848
8/4/2008,121.45,3.76
8/11/2008,114.44,3.677
8/18/2008,112.92,3.587
8/25/2008,114.85,3.494
9/1/2008,110,3.547
9/8/2008,106.35,3.519
9/15/2008,95.52,3.705
9/22/2008,122.61,3.645
9/29/2008,96.29,3.567
10/6/2008,88.15,3.382
10/13/2008,81.17,2.946
10/20/2008,74.08,2.686
10/27/2008,61.92,2.397
11/3/2008,63.93,2.163
11/10/2008,62.19,2.03
11/17/2008,55.14,1.911
11/24/2008,53.63,1.777
12/1/2008,49.34,1.713
12/8/2008,43.69,1.623
12/15/2008,44.61,1.544
12/22/2008,31.1,1.544
12/29/2008,39.89,1.487
1/5/2009,48.61,1.534
1/12/2009,37.65,1.62
1/19/2009,41,1.709
1/26/2009,46.5,1.712
2/2/2009,41.35,1.784
2/9/2009,39.58,1.811
2/16/2009,38,1.813
2/23/2009,37.66,1.757
3/2/2009,40.07,1.798
3/9/2009,47.01,1.794
3/16/2009,47.33,1.788
3/23/2009,53.05,1.864
3/30/2009,48.49,1.962
4/6/2009,51.1,1.956
4/13/2009,50.22,1.964
4/20/2009,45.82,1.967
4/27/2009,49.29,1.945
5/4/2009,54.45,1.955
5/11/2009,57.79,2.133
5/18/2009,58.99,2.206
5/25/2009,63,2.315
6/1/2009,68.59,2.383
6/8/2009,68.05,2.467
6/15/2009,70.54,2.518
6/22/2009,67.09,2.543
6/29/2009,71.47,2.5
7/6/2009,64.06,2.438
7/13/2009,59.69,2.36
7/20/2009,63.93,2.302
7/27/2009,68.34,2.366
8/3/2009,71.59,2.432
8/10/2009,70.59,2.528
8/17/2009,66.72,2.524
8/24/2009,73.68,2.5
8/31/2009,69.97,2.463
9/7/2009,69,2.404
9/14/2009,68.86,2.38
9/21/2009,69.74,2.353
9/28/2009,66.69,2.301
10/5/2009,70.26,2.288
10/12/2009,73.24,2.315
10/19/2009,79.47,2.428
10/26/2009,78.61,2.538
11/2/2009,78.08,2.553
11/9/2009,79.44,2.513
11/16/2009,78.91,2.482
11/23/2009,76.49,2.495
11/30/2009,77.19,2.479
12/7/2009,73.89,2.498
12/14/2009,69.48,2.46
12/21/2009,72.71,2.433
12/28/2009,78.67,2.458
1/4/2010,81.52,2.509
1/11/2010,82.54,2.597
1/18/2010,79,2.599
1/25/2010,74.9,2.564
2/1/2010,74.41,2.518
2/8/2010,71.87,2.492
2/15/2010,76,2.458
2/22/2010,80.04,2.506
3/1/2010,78.71,2.569
3/8/2010,81.85,2.613
3/15/2010,79.79,2.667
3/22/2010,81.26,2.677
3/29/2010,81.92,2.664
4/5/2010,86.36,2.715
4/12/2010,84.07,2.754
4/19/2010,81.52,2.742
4/26/2010,84.2,2.725
5/3/2010,86.19,2.782
5/10/2010,76.89,2.8
5/17/2010,70.08,2.771
5/24/2010,68.23,2.703
5/31/2010,69.5,2.651
6/7/2010,71.55,2.613
6/14/2010,74.99,2.581
6/21/2010,77.84,2.599
6/28/2010,78.26,2.617
7/5/2010,76,2.586
7/12/2010,74.93,2.567
7/19/2010,76.53,2.552
7/26/2010,78.93,2.583
8/2/2010,81.25,2.571
8/9/2010,81.46,2.636
8/16/2010,75.17,2.609
8/23/2010,72.71,2.563
8/30/2010,74.69,2.521
9/6/2010,76,2.507
9/13/2010,77.17,2.526
9/20/2010,74.81,2.567
9/27/2010,76.51,2.546
10/4/2010,81.43,2.577
10/11/2010,82.18,2.663
10/18/2010,83.06,2.67
10/25/2010,82,2.66
11/1/2010,82.94,2.634
11/8/2010,87.07,2.673
11/15/2010,84.88,2.716
11/22/2010,81.24,2.679
11/29/2010,85.73,2.652
12/6/2010,89.33,2.789
12/13/2010,88.62,2.815
12/20/2010,88.68,2.832
12/27/2010,90.99,2.889
1/3/2011,91.59,2.921
1/10/2011,89.24,2.929
1/17/2011,88,2.961
1/24/2011,86.74,2.956
1/31/2011,90.99,2.933
2/7/2011,86.3,2.967
2/14/2011,83.66,2.989
2/21/2011,90,3.01
2/28/2011,97.1,3.234
3/7/2011,105.37,3.404
3/14/2011,101.2,3.433
3/21/2011,102.36,3.417
3/28/2011,103.54,3.468
4/4/2011,108.14,3.567
4/11/2011,109.5,3.688
4/18/2011,106.7,3.751
4/25/2011,111.68,3.755
5/2/2011,113.03,3.85
5/9/2011,100.32,3.844
5/16/2011,96.91,3.85
5/23/2011,97.06,3.727
5/30/2011,98,3.642
6/6/2011,99.07,3.589
6/13/2011,97.2,3.579
6/20/2011,93.23,3.534
6/27/2011,90.65,3.466
7/4/2011,92.3,3.421
7/11/2011,95.16,3.516
7/18/2011,95.94,3.594
7/25/2011,98.97,3.625
8/1/2011,94.98,3.626
8/8/2011,81.27,3.582
8/15/2011,87.88,3.495
8/22/2011,84.42,3.465
8/29/2011,87.27,3.474
9/5/2011,87.75,3.49
9/12/2011,88.19,3.468
9/19/2011,85.7,3.408
9/26/2011,79.97,3.296
10/3/2011,77.34,3.228
10/10/2011,85.14,3.215
10/17/2011,86.38,3.295
10/24/2011,91.12,3.314
10/31/2011,93.19,3.274
11/7/2011,95.52,3.238
11/14/2011,98.14,3.249
11/21/2011,96.73,3.178
11/28/2011,98.21,3.111
12/5/2011,100.94,3.097
12/12/2011,97.77,3.098
12/19/2011,93.86,3.053
12/26/2011,95,3.07
1/2/2012,98,3.1
1/9/2012,101.31,3.202
1/16/2012,100,3.208
1/23/2012,99.47,3.232
1/30/2012,98.75,3.3
2/6/2012,96.89,3.351
2/13/2012,100.39,3.453
2/20/2012,104,3.497
2/27/2012,108.49,3.572
3/5/2012,106.7,3.61
3/12/2012,106.34,3.676
3/19/2012,108.09,3.726
3/26/2012,107.07,3.785
4/2/2012,105.25,3.831
4/9/2012,102.45,3.829
4/16/2012,102.92,3.817
4/23/2012,102.68,3.754
4/30/2012,104.89,3.69
5/7/2012,97.86,3.628
5/14/2012,94.75,3.568
5/21/2012,92.57,3.5
5/28/2012,87,3.44
6/4/2012,83.95,3.391
6/11/2012,82.58,3.333
6/18/2012,83.26,3.285
6/25/2012,78.76,3.226
7/2/2012,83.72,3.166
7/9/2012,85.93,3.195
7/16/2012,88.41,3.252
7/23/2012,87.77,3.346
7/30/2012,89.8,3.355
8/6/2012,92.3,3.434
8/13/2012,92.76,3.512
8/20/2012,96.03,3.56
8/27/2012,95.54,3.579
9/3/2012,96,3.67
9/10/2012,96.52,3.657
9/17/2012,96.51,3.66
9/24/2012,91.68,3.603
10/1/2012,92.44,3.554
10/8/2012,89.43,3.538
10/15/2012,91.84,3.53
10/22/2012,88.3,3.443
10/29/2012,85.52,3.323
11/5/2012,85.64,3.252
11/12/2012,85.56,3.19
11/19/2012,89.05,3.147
11/26/2012,87.28,3.144
12/3/2012,88.69,3.134
12/10/2012,85.14,3.102
12/17/2012,86.71,3.034
12/24/2012,88.29,3.04
12/31/2012,91.83,3.094
1/7/2013,93.2,3.179
1/14/2013,94.27,3.175
1/21/2013,95,3.164
1/28/2013,95.95,3.181
2/4/2013,96.21,3.354
2/11/2013,97.01,3.412
2/18/2013,95,3.533
2/25/2013,92.74,3.647
3/4/2013,90.13,3.594
3/11/2013,92.07,3.558
3/18/2013,93.71,3.545
3/25/2013,94.55,3.54
4/1/2013,97.1,3.517
4/8/2013,93.36,3.463
4/15/2013,88.75,3.382
4/22/2013,88.81,3.348
4/29/2013,94.09,3.316
5/6/2013,95.8,3.324
5/13/2013,94.76,3.386
5/20/2013,96.29,3.428
5/27/2013,94.5,3.397
6/3/2013,93.41,3.37
6/10/2013,95.82,3.358
6/17/2013,97.86,3.408
6/24/2013,95.07,3.425
7/1/2013,97.94,3.353
7/8/2013,103.03,3.331
7/15/2013,106.2,3.483
7/22/2013,106.61,3.55
7/29/2013,104.61,3.524
8/5/2013,106.61,3.486
8/12/2013,106.19,3.431
8/19/2013,107.14,3.409
8/26/2013,105.88,3.422
9/2/2013,106,3.428
9/9/2013,109.62,3.391
9/16/2013,106.54,3.311
9/23/2013,103.62,3.239
9/30/2013,102.36,3.18
10/7/2013,103.07,3.128
10/14/2013,102.46,3.097
10/21/2013,99.28,3.132
10/28/2013,98.74,3.064
11/4/2013,94.58,3.018
11/11/2013,95.13,2.959
11/18/2013,93.03,2.989
11/25/2013,93.86,3.146
12/2/2013,93.61,3.125
12/9/2013,97.1,3.108
12/16/2013,97.18,3.048
12/23/2013,98.62,3.074
12/30/2013,98.9,3.134
1/6/2014,93.12,3.136
1/13/2014,91.45,3.12
1/20/2014,93,3.106
1/27/2014,95.82,3.093
2/3/2014,96.44,3.079
2/10/2014,100.12,3.087
2/17/2014,102,3.195
2/24/2014,103.17,3.199
3/3/2014,105.34,3.236
3/10/2014,101.39,3.271
3/17/2014,98.43,3.294
3/24/2014,100.05,3.344
3/31/2014,101.57,3.367
4/7/2014,100.43,3.397
4/14/2014,104.05,3.483
4/21/2014,104.35,3.502
4/28/2014,101.13,3.497
5/5/2014,99.74,3.463
5/12/2014,100.89,3.434
5/19/2014,102.95,3.453
5/26/2014,103,3.454
6/2/2014,103.07,3.464
6/9/2014,105.09,3.445
6/16/2014,107.52,3.456
6/23/2014,106.83,3.521
6/30/2014,106.07,3.507
7/7/2014,104.19,3.486
7/14/2014,101.73,3.473
7/21/2014,105.34,3.422
7/28/2014,105.68,3.375
8/4/2014,98.26,3.33
8/11/2014,98.09,3.285
8/18/2014,96.44,3.286
8/25/2014,95.39,3.259
9/1/2014,93.5,3.233
9/8/2014,92.64,3.248
9/15/2014,92.86,3.199
9/22/2014,91.46,3.148
9/29/2014,94.53,3.194
10/6/2014,90.33,3.125
10/13/2014,85.73,3.014
10/20/2014,82.76,2.915
10/27/2014,81.26,2.834
11/3/2014,78.77,2.766
11/10/2014,77.43,2.716
11/17/2014,75.64,2.688
11/24/2014,75.74,2.606
12/1/2014,68.98,2.537
12/8/2014,63.13,2.444
12/15/2014,55.96,2.32
12/22/2014,55.25,2.163
12/29/2014,53.46,2.054
1/5/2015,50.05,1.975
1/12/2015,46.06,1.898
1/19/2015,45,1.832
1/26/2015,44.8,1.849
2/2/2015,49.25,1.856
2/9/2015,52.99,1.98
2/16/2015,51,2.073
2/23/2015,49.56,2.112
3/2/2015,49.59,2.231
3/9/2015,49.95,2.237
3/16/2015,43.93,2.227
3/23/2015,47.4,2.208
3/30/2015,48.66,2.202
4/6/2015,52.08,2.202
4/13/2015,51.95,2.202
4/20/2015,56.37,2.258
4/27/2015,55.56,2.306
5/4/2015,58.92,2.387
5/11/2015,59.23,2.443
5/18/2015,59.44,2.47
5/25/2015,60,2.487
6/1/2015,60.24,2.481
6/8/2015,58.15,2.547
6/15/2015,59.53,2.623
6/22/2015,60.01,2.589
6/29/2015,58.34,2.555
7/6/2015,52.48,2.535
7/13/2015,52.19,2.55
7/20/2015,50.11,2.521
7/27/2015,47.17,2.468
8/3/2015,45.25,2.426
8/10/2015,44.94,2.364
8/17/2015,41.93,2.363
8/24/2015,38.22,2.304
8/31/2015,49.2,2.213
9/7/2015,47,2.139
9/14/2015,44.07,2.085
9/21/2015,46.67,2.028
9/28/2015,44.4,2.011
10/5/2015,46.28,2.033
10/12/2015,47.09,2.044
10/19/2015,45.91,2.001
10/26/2015,43.19,1.945
11/2/2015,46.12,1.911
11/9/2015,43.87,1.972
11/16/2015,41.68,1.919
11/23/2015,39.27,1.855
11/30/2015,40.43,1.812
12/7/2015,37.64,1.818
12/14/2015,36.31,1.786
12/21/2015,34.55,1.789
12/28/2015,36.36,1.764
1/4/2016,36.81,1.749
1/11/2016,31.42,1.726
1/18/2016,31,1.671
1/25/2016,30.31,1.629
2/1/2016,31.62,1.588
2/8/2016,29.71,1.564
2/15/2016,30,1.527
2/22/2016,31.37,1.519
2/29/2016,32.74,1.548
3/7/2016,37.9,1.604
3/14/2016,37.2,1.741
3/21/2016,39.91,1.812
3/28/2016,37.99,1.87
4/4/2016,34.3,1.885
4/11/2016,40.46,1.845
4/18/2016,39.74,1.915
4/25/2016,41.67,1.915
5/2/2016,44.75,1.984
5/9/2016,43.45,1.986
5/16/2016,47.72,1.982
5/23/2016,48.12,2.072
5/30/2016,49,2.091
6/6/2016,49.71,2.148
6/13/2016,48.89,2.146
6/20/2016,49.4,2.108
6/27/2016,45.8,2.117
7/4/2016,45,2.093
7/11/2016,44.73,2.058
7/18/2016,45.23,2.021
7/25/2016,42.4,1.999
8/1/2016,40.05,1.959
8/8/2016,43.06,1.944
8/15/2016,45.72,1.953
8/22/2016,46.8,1.978
8/29/2016,46.97,2.013
9/5/2016,46.5,2.016
9/12/2016,46.28,1.972
9/19/2016,43.34,1.944
9/26/2016,45.6,1.931
10/3/2016,48.8,1.981
10/10/2016,49.76,2.01
10/17/2016,49.97,2.015
10/24/2016,50.18,2.05
10/31/2016,46.83,2.043
11/7/2016,44.88,2.006
11/14/2016,43.29,1.969
11/21/2016,47.48,1.907
11/28/2016,45.66,1.895
12/5/2016,51.72,1.964
12/12/2016,52.74,1.988
12/19/2016,52.13,2.049
12/26/2016,52.05,2.069
1/2/2017,52,2.147
1/9/2017,51.95,2.174
1/16/2017,52,2.144
1/23/2017,52.77,2.116
1/30/2017,52.63,2.08
2/6/2017,53.01,2.058
2/13/2017,52.96,2.083
2/20/2017,53.5,2.066
2/27/2017,54.04,2.064
3/6/2017,53.19,2.096
3/13/2017,47.95,2.079
3/20/2017,47.79,2.065
3/27/2017,47.02,2.088
4/3/2017,50.25,2.127
4/10/2017,53.06,2.201
4/17/2017,52.62,2.264
4/24/2017,48.9,2.241
5/1/2017,48.83,2.206
5/8/2017,46.46,2.176
5/15/2017,48.86,2.142
5/22/2017,50.81,2.169
5/29/2017,48.6,2.175
6/5/2017,47.4,2.2
6/12/2017,46.1,2.17
6/19/2017,44.24,2.11
6/26/2017,43.24,2.061
7/3/2017,44.2,2.011
7/10/2017,44.4,2.05
7/17/2017,46.02,2.035
7/24/2017,46.21,2.09
7/31/2017,50.21,2.092
8/7/2017,49.37,2.171
8/14/2017,47.59,2.155
8/21/2017,47.39,2.124
8/28/2017,46.4,2.165
9/4/2017,47.5,2.561
9/11/2017,48.06,2.531
9/18/2017,49.88,2.483
9/25/2017,51.85,2.441
10/2/2017,50.59,2.402
10/9/2017,49.58,2.33
10/16/2017,51.86,2.264
10/23/2017,51.91,2.219
10/30/2017,54.11,2.215
11/6/2017,57.34,2.245
11/13/2017,56.77,2.297
11/20/2017,56.21,2.261
11/27/2017,58.1,2.241
12/4/2017,57.48,2.239
12/11/2017,57.84,2.201
12/18/2017,57.17,2.144
12/25/2017,58,2.161
1/1/2018,59,2.239
1/8/2018,61.73,2.239
1/15/2018,62,2.271
1/22/2018,63.66,2.302
1/29/2018,65.71,2.333
2/5/2018,64.18,2.344
2/12/2018,59.41,2.312
2/19/2018,62,2.255
2/26/2018,63.81,2.235
3/5/2018,62.49,2.282
3/12/2018,61.35,2.285
3/19/2018,62.01,2.307
3/26/2018,65.49,2.379
4/2/2018,63.05,2.417
4/9/2018,63.4,2.404
4/16/2018,66.23,2.479
4/23/2018,67.61,2.529
4/30/2018,68.56,2.595
5/7/2018,70.74,2.591
5/14/2018,71.01,2.628
5/21/2018,72.26,2.694
5/28/2018,68,2.747
6/4/2018,64.76,2.76
